locus_tag,gene,product,bp_length
PRJBM_RS02360,pepN,aminopeptidase N,2628
PRJBM_RS02365,,uracil-DNA glycosylase,828
PRJBM_RS02370,,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,759
PRJBM_RS02375,,thiamine phosphate synthase,606
PRJBM_RS02380,,thiazole synthase,774
PRJBM_RS02385,thiS,sulfur carrier protein ThiS,198
PRJBM_RS02390,,FAD-dependent oxidoreductase,951
PRJBM_RS02395,thiC,phosphomethylpyrimidine synthase ThiC,1833
PRJBM_RS02400,,phage tail protein,981
PRJBM_RS02410,,heme ABC transporter ATP-binding protein,801
PRJBM_RS02415,,iron ABC transporter permease,1098
PRJBM_RS02420,,ABC transporter substrate-binding protein,903
PRJBM_RS02425,,hemin degrading protein,1044
PRJBM_RS02430,,TonB-dependent hemoglobin/transferrin/lactoferrin family receptor,2178
PRJBM_RS02435,,TonB family protein,792
PRJBM_RS02440,,lytic transglycosylase domain-containing protein,2103
PRJBM_RS02445,dapA,4-hydroxy-tetrahydrodipicolinate synthase,885
PRJBM_RS02450,smpB,SsrA-binding protein SmpB,477
PRJBM_RS02455,,uracil-DNA glycosylase,669
PRJBM_RS02460,rpoZ,DNA-directed RNA polymerase subunit omega,399
PRJBM_RS02465,,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",2226
PRJBM_RS02470,pyrE,orotate phosphoribosyltransferase,579
PRJBM_RS02475,,DUF2062 domain-containing protein,603
PRJBM_RS02480,acpS,holo-ACP synthase,402
PRJBM_RS02485,lepB,signal peptidase I,813
PRJBM_RS02490,rnc,ribonuclease III,708
PRJBM_RS02495,era,GTPase Era,903
PRJBM_RS02500,recO,DNA repair protein RecO,771
PRJBM_RS02505,panC,pantoate--beta-alanine ligase,855
PRJBM_RS02510,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,828
PRJBM_RS02515,,HD family hydrolase,621
PRJBM_RS02520,,folate-binding protein YgfZ,858
PRJBM_RS02525,,dihydroorotase,1329
PRJBM_RS02530,,TIGR02301 family protein,372
PRJBM_RS02540,cysS,cysteine--tRNA ligase,1512
PRJBM_RS02545,,DUF421 domain-containing protein,675
PRJBM_RS02550,,ABC transporter ATP-binding protein/permease,1884
PRJBM_RS02555,,phosphatidylserine decarboxylase,699
PRJBM_RS02560,pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase,840
PRJBM_RS02565,,SDR family NAD(P)-dependent oxidoreductase,750
PRJBM_RS02570,purF,amidophosphoribosyltransferase,1491
PRJBM_RS02575,,CvpA family protein,582
PRJBM_RS02580,radA,DNA repair protein RadA,1398
PRJBM_RS02585,,replicative DNA helicase,1488
PRJBM_RS02595,rplI,50S ribosomal protein L9,621
PRJBM_RS02600,,hypothetical protein,981
PRJBM_RS02605,rpsR,30S ribosomal protein S18,249
PRJBM_RS02610,rpsF,30S ribosomal protein S6,408
PRJBM_RS02615,,undecaprenyl-diphosphatase,588
PRJBM_RS02620,fabD,ACP S-malonyltransferase,945
PRJBM_RS02625,fabG,3-oxoacyl-[acyl-carrier-protein] reductase,738
PRJBM_RS02630,,acyl carrier protein,237
PRJBM_RS02635,fabF,beta-ketoacyl-ACP synthase II,1263
PRJBM_RS02640,mltG,endolytic transglycosylase MltG,1107
PRJBM_RS02645,gmk,guanylate kinase,666
PRJBM_RS02650,rsmA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,831
PRJBM_RS02655,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,1014
PRJBM_RS02660,,peptidylprolyl isomerase,951
PRJBM_RS02665,,LPS-assembly protein LptD,2370
PRJBM_RS02670,lptG,LPS export ABC transporter permease LptG,1098
PRJBM_RS02675,lptF,LPS export ABC transporter permease LptF,1191
PRJBM_RS02680,,DNA polymerase III subunit chi,447
PRJBM_RS09335,,hypothetical protein,200
PRJBM_RS09340,,hypothetical protein,267
PRJBM_RS02690,,MHS family MFS transporter,1290
PRJBM_RS02695,bafA,BafA family autotransporter,4017
PRJBM_RS02700,bafA,BafA family autotransporter,2568
PRJBM_RS02705,bafA,BafA family autotransporter,2625
PRJBM_RS02710,,ATP-binding cassette domain-containing protein,1878
PRJBM_RS02715,ndk,nucleoside-diphosphate kinase,423
PRJBM_RS02720,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,582
PRJBM_RS02725,uvrC,excinuclease ABC subunit UvrC,1986
PRJBM_RS02730,rlmJ,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,864
PRJBM_RS09345,,hypothetical protein,348
PRJBM_RS09350,,hypothetical protein,192
PRJBM_RS09355,,hypothetical protein,234
PRJBM_RS02740,tatA,twin-arginine translocase TatA/TatE family subunit,312
PRJBM_RS02745,tatB,Sec-independent protein translocase protein TatB,441
PRJBM_RS02750,tatC,twin-arginine translocase subunit TatC,795
PRJBM_RS02755,serS,serine--tRNA ligase,1278
PRJBM_RS02760,,protein-L-isoaspartate(D-aspartate) O-methyltransferase,660
PRJBM_RS02765,,peptidoglycan DD-metalloendopeptidase family protein,1179
PRJBM_RS02770,yajC,preprotein translocase subunit YajC,447
PRJBM_RS02775,,MTH938/NDUFAF3 family protein,387
PRJBM_RS02780,,phytoene/squalene synthase family protein,861
PRJBM_RS02785,,peptidyl-prolyl cis-trans isomerase,1890
PRJBM_RS02790,tpiA,triose-phosphate isomerase,765
PRJBM_RS02795,secG,preprotein translocase subunit SecG,459
PRJBM_RS02800,,CTP synthase,1629
PRJBM_RS02805,kdsA,3-deoxy-8-phosphooctulonate synthase,840
PRJBM_RS02810,eno,phosphopyruvate hydratase,1269
PRJBM_RS02815,,TM2 domain-containing protein,405
PRJBM_RS02825,,septum formation initiator family protein,330
PRJBM_RS02830,pdhA,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,1041
PRJBM_RS02835,,pyruvate dehydrogenase complex E1 component subunit beta,1374
PRJBM_RS02840,,pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase,1329
PRJBM_RS02845,lpdA,dihydrolipoyl dehydrogenase,1461
PRJBM_RS02850,lipA,lipoyl synthase,963
PRJBM_RS02855,,type II toxin-antitoxin system RatA family toxin,462
PRJBM_RS02860,,CinA family protein,489
PRJBM_RS02865,,"bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",1194
PRJBM_RS02870,rirA,iron-responsive transcriptional regulator RirA,468
PRJBM_RS02875,,PAS domain-containing sensor histidine kinase,2265
PRJBM_RS02880,,sigma-54 dependent transcriptional regulator,1359
PRJBM_RS02885,trkA,Trk system potassium transporter TrkA,1377
PRJBM_RS02890,,hypothetical protein,806
PRJBM_RS02895,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,633
PRJBM_RS02900,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,1275
PRJBM_RS02905,lon,endopeptidase La,2424
PRJBM_RS02910,,HU family DNA-binding protein,276
PRJBM_RS02915,trmFO,methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO,1407
PRJBM_RS02925,tig,trigger factor,1410
PRJBM_RS02930,gatB,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,1500
PRJBM_RS02935,,NADH:ubiquinone oxidoreductase subunit NDUFA12,399
PRJBM_RS02940,,DUF2155 domain-containing protein,426
PRJBM_RS02950,,rhomboid family intramembrane serine protease,741
PRJBM_RS02955,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,825
PRJBM_RS02970,tuf,elongation factor Tu,1176
PRJBM_RS02980,secE,preprotein translocase subunit SecE,213
PRJBM_RS02985,nusG,transcription termination/antitermination protein NusG,531
PRJBM_RS02990,rplK,50S ribosomal protein L11,429
PRJBM_RS02995,rplA,50S ribosomal protein L1,699
PRJBM_RS03000,rplJ,50S ribosomal protein L10,519
PRJBM_RS03005,rplL,50S ribosomal protein L7/L12,372
PRJBM_RS03010,rpoB,DNA-directed RNA polymerase subunit beta,4152
PRJBM_RS03015,rpoC,DNA-directed RNA polymerase subunit beta',4209
PRJBM_RS03020,,MerR family DNA-binding transcriptional regulator,387
PRJBM_RS03025,,nitroreductase,690
PRJBM_RS03030,,L-serine ammonia-lyase,1398
PRJBM_RS03035,,hypothetical protein,279
PRJBM_RS03040,,D-alanyl-D-alanine carboxypeptidase,1350
PRJBM_RS03045,clpS,ATP-dependent Clp protease adapter ClpS,372
PRJBM_RS03050,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA,2352
PRJBM_RS03055,,HIT family protein,423
PRJBM_RS03060,,RidA family protein,462
PRJBM_RS03065,,cell envelope integrity EipB family protein,825
PRJBM_RS03070,rpsB,30S ribosomal protein S2,774
PRJBM_RS03075,tsf,translation elongation factor Ts,924
PRJBM_RS03080,pyrH,UMP kinase,720
PRJBM_RS03085,frr,ribosome recycling factor,561
PRJBM_RS03090,,phosphatidate cytidylyltransferase,816
PRJBM_RS03095,rseP,RIP metalloprotease RseP,1149
PRJBM_RS03100,bamA,outer membrane protein assembly factor BamA,2397
PRJBM_RS03105,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,1047
PRJBM_RS03110,fabZ,3-hydroxyacyl-ACP dehydratase FabZ,468
PRJBM_RS03115,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,825
PRJBM_RS03120,lpxI,"UDP-2,3-diacylglucosamine diphosphatase LpxI",873
PRJBM_RS03125,lpxB,lipid-A-disaccharide synthase,1206
PRJBM_RS03130,,amino acid ABC transporter ATP-binding protein,774
PRJBM_RS03135,,ABC transporter permease subunit,708
PRJBM_RS03140,,ABC transporter permease subunit,720
PRJBM_RS03145,,transporter substrate-binding domain-containing protein,753
PRJBM_RS03150,,citrate synthase,1296
PRJBM_RS03155,gltX,glutamate--tRNA ligase,1452
PRJBM_RS03160,,ComEC/Rec2 family competence protein,2319
PRJBM_RS03165,rpiA,ribose-5-phosphate isomerase RpiA,705
PRJBM_RS03170,,DUF2059 domain-containing protein,558
PRJBM_RS03175,gor,glutathione-disulfide reductase,1392
PRJBM_RS03180,,3-deoxy-7-phosphoheptulonate synthase class II,1380
PRJBM_RS03185,,NAD+ synthase,1665
PRJBM_RS03190,gltX,glutamate--tRNA ligase,1380
PRJBM_RS03195,,DEAD/DEAH box helicase,1404
PRJBM_RS03200,,NAD kinase,774
PRJBM_RS03210,hutH,histidine ammonia-lyase,1539
PRJBM_RS03215,,hypothetical protein,363
PRJBM_RS03220,,amino acid permease,1395
PRJBM_RS08260,,hypothetical protein,237
PRJBM_RS03235,,ShlB/FhaC/HecB family hemolysin secretion/activation protein,1773
PRJBM_RS03240,,hemagglutinin repeat-containing protein,7986
PRJBM_RS03245,,hypothetical protein,402
PRJBM_RS09360,,hypothetical protein,207
PRJBM_RS03255,,autotransporter outer membrane beta-barrel domain-containing protein,2754
PRJBM_RS03260,,hypothetical protein,481
PRJBM_RS09365,,type II toxin-antitoxin system PemK/MazF family toxin,96
PRJBM_RS03270,,HigA family addiction module antitoxin,309
PRJBM_RS03275,,type II toxin-antitoxin system RelE/ParE family toxin,279
PRJBM_RS03280,,hypothetical protein,327
PRJBM_RS03285,,phage terminase large subunit,1140
PRJBM_RS03290,,ShlB/FhaC/HecB family hemolysin secretion/activation protein,1803
PRJBM_RS03295,,hemagglutinin repeat-containing protein,8007
PRJBM_RS03300,,hypothetical protein,414
PRJBM_RS03305,,hypothetical protein,405
PRJBM_RS09370,,hypothetical protein,407
PRJBM_RS03320,,hypothetical protein,408
PRJBM_RS03325,,replicative DNA helicase,515
PRJBM_RS03330,,type II toxin-antitoxin system RelE/ParE family toxin,282
PRJBM_RS03335,,HigA family addiction module antitoxin,300
PRJBM_RS03340,,tyrosine-type recombinase/integrase,1038
PRJBM_RS03345,,hypothetical protein,249
PRJBM_RS03350,,YqaJ viral recombinase family protein,624
PRJBM_RS03355,,ERF family protein,780
PRJBM_RS03360,,hypothetical protein,384
PRJBM_RS03365,,phage regulatory protein/antirepressor Ant,732
PRJBM_RS03370,,antA/AntB antirepressor family protein,357
PRJBM_RS03375,,hypothetical protein,375
PRJBM_RS03380,,helix-turn-helix domain-containing protein,339
PRJBM_RS09375,,hypothetical protein,363
PRJBM_RS03390,,hypothetical protein,360
PRJBM_RS03395,,hypothetical protein,480
PRJBM_RS03400,,DUF1376 domain-containing protein,1251
PRJBM_RS08545,,hypothetical protein,387
PRJBM_RS03415,,hypothetical protein,318
PRJBM_RS03420,,"type II toxin-antitoxin system mRNA interferase toxin, RelE/StbE family",273
PRJBM_RS03425,,hypothetical protein,291
PRJBM_RS03430,ssb,single-stranded DNA-binding protein,447
PRJBM_RS03435,,hypothetical protein,495
PRJBM_RS03440,,antitoxin,258
PRJBM_RS03445,,type II toxin-antitoxin system PemK/MazF family toxin,333
PRJBM_RS03450,,DUF6290 family protein,228
PRJBM_RS03455,,type II toxin-antitoxin system RelE/ParE family toxin,270
PRJBM_RS09380,,hypothetical protein,393
PRJBM_RS03460,,hypothetical protein,459
PRJBM_RS03465,,hypothetical protein,327
PRJBM_RS03470,,phage terminase large subunit,1140
PRJBM_RS03475,,ShlB/FhaC/HecB family hemolysin secretion/activation protein,1803
PRJBM_RS03480,,hemagglutinin repeat-containing protein,8022
PRJBM_RS03485,,hypothetical protein,417
PRJBM_RS03495,,hypothetical protein,417
PRJBM_RS08945,,hypothetical protein,138
PRJBM_RS03500,,hypothetical protein,405
PRJBM_RS08560,,hypothetical protein,138
PRJBM_RS03505,,hypothetical protein,405
PRJBM_RS03510,,hypothetical protein,450
PRJBM_RS03515,,hypothetical protein,408
PRJBM_RS03520,,hemagglutinin repeat-containing protein,1713
PRJBM_RS03525,,hypothetical protein,405
PRJBM_RS03530,,replicative DNA helicase,515
PRJBM_RS03540,,response regulator,363
PRJBM_RS03545,,alpha/beta hydrolase,903
PRJBM_RS03550,,Hsp20 family protein,498
PRJBM_RS09385,,fumarylacetoacetate hydrolase family protein,219
PRJBM_RS09390,,hypothetical protein,150
PRJBM_RS09395,,hypothetical protein,75
PRJBM_RS03565,,DNA adenine methylase,273
PRJBM_RS03575,,iron-sulfur cluster assembly accessory protein,378
PRJBM_RS03580,mazG,nucleoside triphosphate pyrophosphohydrolase,822
PRJBM_RS03585,,lipid A biosynthesis lauroyl acyltransferase,930
PRJBM_RS03590,,zinc-binding dehydrogenase,1029
PRJBM_RS03595,,beta-ketoacyl-ACP synthase,1275
PRJBM_RS03600,,beta-ketoacyl-ACP synthase,1176
PRJBM_RS03605,,acyl carrier protein,285
PRJBM_RS03610,,NADP-dependent malic enzyme,2325
PRJBM_RS03615,,hypothetical protein,4563
PRJBM_RS03620,hfq,RNA chaperone Hfq,240
PRJBM_RS03625,hflX,GTPase HflX,1344
PRJBM_RS03630,,membrane protein,1767
PRJBM_RS03635,,COX15/CtaA family protein,1077
PRJBM_RS03640,argC,N-acetyl-gamma-glutamyl-phosphate reductase,936
PRJBM_RS03645,,serine hydroxymethyltransferase,1314
PRJBM_RS03650,nrdR,transcriptional regulator NrdR,483
PRJBM_RS03655,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,1128
PRJBM_RS03660,,riboflavin synthase,621
PRJBM_RS03665,,"6,7-dimethyl-8-ribityllumazine synthase",468
PRJBM_RS03670,nusB,transcription antitermination factor NusB,477
PRJBM_RS03675,,outer membrane protein assembly factor BamE,480
PRJBM_RS03680,,DUF177 domain-containing protein,552
PRJBM_RS03685,plsX,phosphate acyltransferase PlsX,1071
PRJBM_RS03690,,ketoacyl-ACP synthase III,975
PRJBM_RS03695,,integration host factor subunit alpha,327
PRJBM_RS03700,,MerR family transcriptional regulator,504
PRJBM_RS03705,thrS,threonine--tRNA ligase,1977
PRJBM_RS03710,yidD,membrane protein insertion efficiency factor YidD,354
PRJBM_RS03715,,iron-sulfur cluster assembly scaffold protein,429
PRJBM_RS03720,folE,GTP cyclohydrolase I FolE,621
PRJBM_RS03730,,alpha/beta hydrolase,1185
PRJBM_RS03735,,hypothetical protein,495
PRJBM_RS03740,,helix-turn-helix transcriptional regulator,249
PRJBM_RS03745,,hypothetical protein,294
PRJBM_RS03750,,hypothetical protein,312
PRJBM_RS03755,,hypothetical protein,288
PRJBM_RS09400,,hypothetical protein,474
PRJBM_RS03765,,response regulator,366
PRJBM_RS03770,rpsI,30S ribosomal protein S9,486
PRJBM_RS03775,rplM,50S ribosomal protein L13,465
PRJBM_RS03780,recJ,single-stranded-DNA-specific exonuclease RecJ,1785
PRJBM_RS03785,parE,DNA topoisomerase IV subunit B,2058
PRJBM_RS03790,lipB,lipoyl(octanoyl) transferase LipB,738
PRJBM_RS03795,,YgcG family protein,852
PRJBM_RS03800,,LemA family protein,645
PRJBM_RS09405,,phage tail protein,234
PRJBM_RS09410,,phage major tail tube protein,327
PRJBM_RS03810,,hypothetical protein,417
PRJBM_RS03815,,restriction endonuclease,618
PRJBM_RS03820,,ShlB/FhaC/HecB family hemolysin secretion/activation protein,1803
PRJBM_RS03825,,filamentous hemagglutinin N-terminal domain-containing protein,2781
PRJBM_RS03830,,hypothetical protein,615
PRJBM_RS03835,,hypothetical protein,402
PRJBM_RS03840,,hypothetical protein,192
PRJBM_RS08590,,hypothetical protein,270
PRJBM_RS09415,,hypothetical protein,63
PRJBM_RS09420,,XRE family transcriptional regulator,363
PRJBM_RS03850,accC,acetyl-CoA carboxylase biotin carboxylase subunit,1359
PRJBM_RS03855,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,492
PRJBM_RS03860,,DsbA family protein,858
PRJBM_RS03870,glpD,glycerol-3-phosphate dehydrogenase,1533
PRJBM_RS03875,dusA,tRNA dihydrouridine(20/20a) synthase DusA,981
PRJBM_RS03880,cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,1008
PRJBM_RS03885,,Lrp/AsnC family transcriptional regulator,492
PRJBM_RS03890,,uracil-DNA glycosylase family protein,636
PRJBM_RS03895,,thermonuclease family protein,513
PRJBM_RS03900,rpmG,50S ribosomal protein L33,168
PRJBM_RS03915,rnr,ribonuclease R,2274
PRJBM_RS03920,topA,type I DNA topoisomerase,2562
PRJBM_RS08605,,hypothetical protein,207
PRJBM_RS03925,dprA,DNA-processing protein DprA,1215
PRJBM_RS03930,plsY,glycerol-3-phosphate 1-O-acyltransferase PlsY,636
PRJBM_RS03935,,dihydroorotase,1296
PRJBM_RS03940,,aspartate carbamoyltransferase catalytic subunit,966
PRJBM_RS03945,,acyl-CoA dehydrogenase,1629
PRJBM_RS03950,ruvX,Holliday junction resolvase RuvX,480
PRJBM_RS03955,gatC,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,288
PRJBM_RS03960,gatA,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,1485
PRJBM_RS03970,,ABC transporter ATP-binding protein,711
PRJBM_RS03975,,ABC transporter ATP-binding protein,783
PRJBM_RS03980,,branched-chain amino acid ABC transporter permease,1059
PRJBM_RS03985,,branched-chain amino acid ABC transporter permease,1077
PRJBM_RS03990,,ABC transporter substrate-binding protein,1134
PRJBM_RS03995,,CspA family cold shock protein,576
PRJBM_RS04000,,DUF192 domain-containing protein,543
PRJBM_RS04005,,alpha/beta hydrolase,774
PRJBM_RS04015,,DUF3126 family protein,213
PRJBM_RS04020,radC,DNA repair protein RadC,795
PRJBM_RS04025,map,type I methionyl aminopeptidase,831
PRJBM_RS04030,sfsA,DNA/RNA nuclease SfsA,708
PRJBM_RS04035,,RNA methyltransferase,837
PRJBM_RS04040,murI,glutamate racemase,813
PRJBM_RS04045,rpsD,30S ribosomal protein S4,618
PRJBM_RS04050,ttcA,tRNA 2-thiocytidine(32) synthetase TtcA,849
PRJBM_RS04055,rimO,30S ribosomal protein S12 methylthiotransferase RimO,1314
PRJBM_RS04060,lexA,transcriptional repressor LexA,705
PRJBM_RS04070,,septal ring lytic transglycosylase RlpA family protein,852
PRJBM_RS04075,,D-alanyl-D-alanine carboxypeptidase,1164
PRJBM_RS04080,tmk,dTMP kinase,648
PRJBM_RS04085,,DNA polymerase III subunit delta',1053
PRJBM_RS04090,metG,methionine--tRNA ligase,1560
PRJBM_RS04095,,TatD family hydrolase,774
PRJBM_RS04100,,MBL fold metallo-hydrolase,810
PRJBM_RS04105,,DUF6163 family protein,396
PRJBM_RS04110,,enoyl-CoA hydratase/isomerase family protein,1047
PRJBM_RS04115,,phosphatidylcholine/phosphatidylserine synthase,813
PRJBM_RS04120,,UbiH/UbiF family hydroxylase,1293
PRJBM_RS04125,,hypothetical protein,345
PRJBM_RS04130,,hypothetical protein,330
PRJBM_RS04135,sodC,superoxide dismutase family protein,528
PRJBM_RS04150,,SUF system Fe-S cluster assembly protein,402
PRJBM_RS04155,,cysteine desulfurase,1245
PRJBM_RS04160,sufD,Fe-S cluster assembly protein SufD,1269
PRJBM_RS04165,sufC,Fe-S cluster assembly ATPase SufC,756
PRJBM_RS04170,sufB,Fe-S cluster assembly protein SufB,1512
PRJBM_RS04175,,cysteine desulfurase,1155
PRJBM_RS04180,,alpha/beta hydrolase,681
PRJBM_RS04185,tyrS,tyrosine--tRNA ligase,1254
PRJBM_RS04190,,peroxiredoxin,489
PRJBM_RS04195,prfB,peptide chain release factor 2,1128
PRJBM_RS04200,,penicillin-binding protein 1A,2466
